decision_id,record_id,field,input_value,result_value,action,source_locator,evidence,responsible_process,decision_date,rule_version,confidence,reversible,synthetic
AF-ED-001,AF-P1-001,date_normalized,"v nedeljo, dne 1. t. m. + issue date 1925-02-07",1925-02-01,derive_relative_date,PDF page 1 lower-left caption,The issue was Saturday 7 February 1925; the printed phrase identifies Sunday the first of the same month.,handbook editorial audit,2026-09-03,AF-v1.1,high,true,false
AF-ED-002,AF-P1-004,date_normalized,27. jan. t. l. + issue year 1925,1925-01-27,derive_relative_date,PDF page 1 bottom portrait 4 caption,The printed day and month plus the issue year support the normalized date.,handbook editorial audit,2026-09-03,AF-v1.1,high,true,false
AF-ED-003,AF-ISSUE-001,reference_transcription,obri,bori,correct_provider_ocr_from_facsimile,PDF page 1 introductory paragraph line 1,The printed letter sequence is visibly bori.,manual facsimile comparison,2026-09-03,AF-v1.1,high,true,false
AF-ED-004,AF-ISSUE-001,reference_transcription,stavovske,stanovske,correct_provider_ocr_from_facsimile,PDF page 1 introductory paragraph line 3,The printed letter sequence is visibly stanovske.,manual facsimile comparison,2026-09-03,AF-v1.1,high,true,false
AF-ED-005,AF-P2-003,printed_person_or_group,Mr. Meker,Mr. Meker,retain_printed_form,PDF page 2 bottom-right caption,The source prints Meker; modernization to Meeker would be an unsupported silent correction.,handbook editorial audit,2026-09-03,AF-v1.1,high,true,false
AF-ED-006,AF-P2-003,authority_link_status,Ezra Meeker,candidate_rejected,reject_authority_candidate,PDF page 2 bottom-right caption + candidate review,Name and age resemblance alone do not establish that the pictured speaker is Ezra Meeker.,handbook authority review,2026-09-03,AF-v1.1,medium,true,false
AF-ED-007,AF-P2-001,entity_structure,eight named deputies,multiple_people,model_group_as_multiple_people,PDF page 2 top-left group portrait and caption,The caption names several people; one aggregate authority identity would misrepresent the unit.,handbook editorial audit,2026-09-03,AF-v1.1,high,true,false
AF-ED-008,AF-P1-002,date_normalized,no printed photograph-creation date,unknown,leave_creation_date_unknown,PDF page 1 lower-right photograph and caption,The issue date describes publication context and supplies no evidence for the photograph's creation date.,handbook editorial audit,2026-09-03,AF-v1.1,high,true,false
AF-SYN-001,AF-P1-001,label_transcribed,Triumf dr. Korošca v slovenski LJubljani.,Triumf dr. Korošca v slovenski Ljubljani.,restore_reference_capitalization,lower-left photograph and caption,Simulates a case-changing transcription error that looks harmless but breaks exact matching.,deterministic packet builder,2026-09-03,AF-v1.1,high,true,true
AF-SYN-002,AF-P2-003,printed_person_or_group,Mr. Meeker,Mr. Meker,restore_printed_person_label,bottom-right photograph and caption,Simulates an unsupported silent correction of the spelling printed in the source.,deterministic packet builder,2026-09-03,AF-v1.1,high,true,true
AF-SYN-003,AF-P2-003,authority_link_status,accepted,candidate_rejected,reject_unsupported_authority_acceptance,bottom-right photograph and caption,Simulates acceptance of a plausible authority candidate without sufficient evidence.,deterministic packet builder,2026-09-03,AF-v1.1,high,true,true
AF-SYN-004,AF-P1-002-DUP,record_id,AF-P1-002-DUP,AF-P1-002,exclude_declared_synthetic_duplicate,lower-right photograph and caption,Creates a duplicate catalogue row without changing the historical object.,deterministic packet builder,2026-09-03,AF-v1.1,high,true,true
